run_id,repo,method,dataset,metric,value,n_samples,source
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,gsm8k-test::cot,accuracy,0.8286580742987112,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,gsm8k-test::cot,accuracy,0.8824867323730099,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,gsm8k-test::tool,accuracy,0.8369977255496588,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,gsm8k-test::tool,accuracy,0.866565579984837,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,math-cot-test::cot,accuracy,0.3618,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,math-pal-test::tool,accuracy,0.3142,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,math-test::cot,accuracy,0.4682,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,math-test::cot,accuracy,0.517,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,math-test::tool,accuracy,0.575,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,math-test::tool,accuracy,0.5878,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,math_sat::cot,accuracy,0.84375,32,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,mgsm-zh::cot,accuracy,0.732,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,mgsm-zh::cot,accuracy,0.796,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,mgsm-zh::tool,accuracy,0.72,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,mgsm-zh::tool,accuracy,0.784,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,miniF2F-Isabelle-test::cot,accuracy,1.0,244,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,miniF2F-Isabelle-valid::cot,accuracy,1.0,244,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,MMLU-STEM-test,cot/accuracy,0.5646123260437376,3018,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,OCWCourses,cot/accuracy,0.15441176470588236,272,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,agieval-gaokao-mathcloze-cot-test,cot/accuracy,0.2033898305084746,118,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,agieval-gaokao-mathqa-cot-test,cot/accuracy,0.35327635327635326,351,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,cmath,cot/accuracy,0.8460837887067395,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,cmath,cot/accuracy,0.8879781420765027,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,cmath-cot-test,cot/accuracy,0.7167577413479053,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,gsm8k-cot-test,cot/accuracy,0.6421531463229719,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,gsm8k-test,cot/accuracy,0.8286580742987112,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,gsm8k-test,cot/accuracy,0.8824867323730099,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,math-cot-test,cot/accuracy,0.3618,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,math-test,cot/accuracy,0.4682,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,math-test,cot/accuracy,0.517,5000,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,math_sat,cot/accuracy,0.84375,32,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,mgsm-zh,cot/accuracy,0.732,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,mgsm-zh,cot/accuracy,0.796,250,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,miniF2F-Isabelle-test,cot/accuracy,1.0,244,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,miniF2F-Isabelle-valid,cot/accuracy,1.0,244,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
openr1_amsb,open-r1,amsb,train,method/test_amsb_balanced_group_size,16.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/test_amsb_entropy_max,0.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/test_amsb_entropy_mean,0.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/test_amsb_scale_mean,1.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/test_amsb_scale_min,1.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/test_amsb_top_error_clusters_mean,1.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_mgrpo,open-r1,mgrpo,train,method/test_guiding_phrase_count,2.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-MGRPO-DryRun\dry_run_summary.json
openr1_mgrpo,open-r1,mgrpo,train,method/test_layer2_prompt_count,32.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-MGRPO-DryRun\dry_run_summary.json
openr1_seed,open-r1,seed,train,method/test_seed_entropy_max,0.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-SEED-DryRun\dry_run_summary.json
openr1_seed,open-r1,seed,train,method/test_seed_entropy_mean,0.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-SEED-DryRun\dry_run_summary.json
openr1_seed,open-r1,seed,train,method/test_seed_modulation_mean,1.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-SEED-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/train_amsb_balanced_group_size,16.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/train_amsb_entropy_max,0.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/train_amsb_entropy_mean,0.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/train_amsb_scale_mean,1.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/train_amsb_scale_min,1.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,train,method/train_amsb_top_error_clusters_mean,1.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-AMSB-DryRun\dry_run_summary.json
openr1_mgrpo,open-r1,mgrpo,train,method/train_guiding_phrase_count,2.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-MGRPO-DryRun\dry_run_summary.json
openr1_mgrpo,open-r1,mgrpo,train,method/train_layer2_prompt_count,32.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-MGRPO-DryRun\dry_run_summary.json
openr1_seed,open-r1,seed,train,method/train_seed_entropy_max,0.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-SEED-DryRun\dry_run_summary.json
openr1_seed,open-r1,seed,train,method/train_seed_entropy_mean,0.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-SEED-DryRun\dry_run_summary.json
openr1_seed,open-r1,seed,train,method/train_seed_modulation_mean,1.0,32,D:\Projects\M-SB-GRPO\compare\open-r1\data\Qwen2.5-Math-7B-Open-R1-SEED-DryRun\dry_run_summary.json
openr1_amsb,open-r1,amsb,aime2025,pass@1,0.625,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,aime2025,pass@1,0.625,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,aime2025,pass@1,0.625,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,aime2025,pass@1,0.625,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,gsm8k,pass@1,0.6171875,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,gsm8k,pass@1,0.6171875,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,gsm8k,pass@1,0.6171875,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,gsm8k,pass@1,0.6171875,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,math500,pass@1,0.6171875,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,math500,pass@1,0.6171875,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,math500,pass@1,0.6171875,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,math500,pass@1,0.6171875,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,olympiadbench,pass@1,0.5859375,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,olympiadbench,pass@1,0.5859375,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,olympiadbench,pass@1,0.5859375,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,olympiadbench,pass@1,0.5859375,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,aime2025,pass@2,0.8482142857142857,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,aime2025,pass@2,0.8482142857142857,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,aime2025,pass@2,0.8482142857142857,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,aime2025,pass@2,0.8482142857142857,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,gsm8k,pass@2,0.8549107142857143,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,gsm8k,pass@2,0.8549107142857143,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,gsm8k,pass@2,0.8549107142857143,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,gsm8k,pass@2,0.8549107142857143,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,math500,pass@2,0.8437499999999999,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,math500,pass@2,0.8437499999999999,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,math500,pass@2,0.8437499999999999,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,math500,pass@2,0.8437499999999999,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,olympiadbench,pass@2,0.8325892857142855,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,olympiadbench,pass@2,0.8325892857142855,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,olympiadbench,pass@2,0.8325892857142855,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,olympiadbench,pass@2,0.8325892857142855,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,aime2025,pass@4,0.9607142857142857,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,aime2025,pass@4,0.9607142857142857,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,aime2025,pass@4,0.9607142857142857,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,aime2025,pass@4,0.9607142857142857,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,gsm8k,pass@4,0.9839285714285715,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,gsm8k,pass@4,0.9839285714285715,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,gsm8k,pass@4,0.9839285714285715,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,gsm8k,pass@4,0.9839285714285715,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,math500,pass@4,0.9580357142857143,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,math500,pass@4,0.9580357142857143,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,math500,pass@4,0.9580357142857143,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,math500,pass@4,0.9580357142857143,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,olympiadbench,pass@4,0.9741071428571428,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,olympiadbench,pass@4,0.9741071428571428,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,olympiadbench,pass@4,0.9741071428571428,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,olympiadbench,pass@4,0.9741071428571428,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,aime2025,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,aime2025,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,aime2025,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,aime2025,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,gsm8k,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,gsm8k,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,gsm8k,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,gsm8k,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,math500,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,math500,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,math500,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,math500,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
openr1_amsb,open-r1,amsb,olympiadbench,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-amsb\summary.json
openr1_mgrpo,open-r1,mgrpo,olympiadbench,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-mgrpo\summary.json
openr1_seed,open-r1,seed,olympiadbench,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-seed\summary.json
openr1_vanilla,open-r1,vanilla,olympiadbench,pass@8,1.0,16,D:\Projects\M-SB-GRPO\compare\open-r1\data\benchmark-dryrun-vanilla\summary.json
deepseek_eval_snapshot:DeepSeekMath-Instruct,DeepSeek-Math,deepseek-eval:DeepSeekMath-Instruct,cmath,tool/accuracy,0.843351548269581,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-RL,DeepSeek-Math,deepseek-eval:DeepSeekMath-RL,cmath,tool/accuracy,0.8761384335154827,1098,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
deepseek_eval_snapshot:DeepSeekMath-Base,DeepSeek-Math,deepseek-eval:DeepSeekMath-Base,gsm8k-pal-test,tool/accuracy,0.66868840030326,1319,D:\Projects\M-SB-GRPO\compare\DeepSeek-Math\evaluation\evaluation_results.json
